Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat57,Intensity Rat58,Intensity Rat59,Intensity Rat60,Intensity Rat61,Intensity Rat62,Intensity Rat63,Intensity Rat64,Intensity Rat65,Intensity Rat66
A0A8I6A0W6,A0A8I6A0W6_RAT,(E3-independent) E2 ubiquitin-conjugating enzyme,Ube2o,83189600,96459800,66178600,55210200,61273400,76030600,92194100,94482000,66202700,68203900
A0A8I6A140,A0A8I6A140_RAT,Kelch-like family member 9,Klhl13,19218400,17369600,20049000,18366400,19104500,14994500,17171600,17108700,16025400,21602100
A0A8I6A152,A0A8I6A152_RAT,STARD3 N-terminal like,Stard3nl,8032400,7768710,10162100,9340220,8183190,4854680,6110030,5914840,7678040,8623040
A0A8I6A180,A0A8I6A180_RAT,Teneurin-4,Tenm4,28176300,29559500,32157900,28614600,26846400,22512400,31410200,26901300,26327900,27921000
A0A8I6A183,A0A8I6A183_RAT,Cell division cycle and apoptosis regulator protein 1,Ccar1,14811200,16586100,10264200,10720200,11410600,14518400,17170700,13564700,11700600,11005800
A0A8I6A1D9,A0A8I6A1D9_RAT,Vesicle transport protein USE1,Use1,17727900,15484100,8603260,6885580,7794050,13351200,18108100,15254800,22474500,11229300
A0A8I6A1H4,A0A8I6A1H4_RAT,Transmembrane protein with metallophosphoesterase domain,Tmppe,6033200,8730050,6352640,8145920,6644570,6549520,7068940,6354770,5998400,8340770
A0A8I6A1K0,A0A8I6A1K0_RAT,Solute carrier family 4 member 1 adaptor protein,Slc4a1ap,2712790,3674480,,,1007810,2942900,3146110,2467980,,
A0A8I6A1N7,A0A8I6A1N7_RAT,Proteoglycan 4,Prg4,2577030,,,6999960,7222040,2884350,5735770,,9006100,6562290
A0A8I6A1T4,A0A8I6A1T4_RAT,Eukaryotic translation initiation factor 4 gamma 2,Eif4g2,251805000,287904000,188363000,180495000,209199000,235340000,261927000,231274000,206496000,238422000
A0A8I6A1V1,A0A8I6A1V1_RAT,Receptor-type tyrosine-protein phosphatase delta,Ptprd,82182700,89414100,71093000,68058600,67467700,82512200,92103300,88115400,69203400,73574400
A0A8I6A1X7,A0A8I6A1X7_RAT,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),AABR07038881.1,2102300000,2710520000,1546510000,1468240000,1397150000,2327750000,3447180000,3490140000,1822220000,1774750000
A0A8I6A202,A0A8I6A202_RAT,tRNA pseudouridine synthase,Pusl1,5212220,4445430,3605660,6307110,5931140,5884360,10212900,12522700,10133200,10042500
A0A8I6A254,A0A8I6A254_RAT,Large ribosomal subunit protein uL15m,Mrpl15,12437100,15181100,13015100,19559300,15811000,11231100,13588600,13578400,18380300,18628300
A0A8I6A263,A0A8I6A263_RAT,Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1,Aimp1,85047000,93612500,53200000,60058000,53383500,88344900,99195300,83779700,51505500,63974700
A0A8I6A272,A0A8I6A272_RAT,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,Raph1,13807400,14291400,11892000,13059100,10980700,26190300,20327300,13230000,6835640,10176400
A0A8I6A2G8;A0A0G2K964;F1M3L4,A0A0G2K964_RAT;A0A8I6A2G8_RAT;F1M3L4_RAT,E2 ubiquitin-conjugating enzyme,Ube2e2,14570600,15217200,10405600,8388000,9946440,10840500,12297300,11036100,7096680,8427660
A0A8I6A2H6,MICU3_RAT,"Calcium uptake protein 3, mitochondrial",Micu3,34016500,39395900,94601000,90944000,66471100,50059300,55168700,47372300,41775500,49623300
A0A8I6A2N3,A0A8I6A2N3_RAT,E3 ubiquitin-protein ligase MYCBP2,Mycbp2,22026200,22225700,23327000,23995200,23655700,18469400,23767300,22984400,25828000,24196800
A0A8I6A2P1,A0A8I6A2P1_RAT,Serine/arginine-rich splicing factor 3,Srsf3,90280400,128377000,56709600,43937600,54726300,62105600,101147000,77263700,46717600,40040900
A0A8I6A2W7,A0A8I6A2W7_RAT,ADP/ATP translocase,ENSRNOG00000063289,108039000,124499000,73540400,105566000,100797000,51301100,47850000,39355600,31163900,58470200
A0A8I6A2Y2,A0A8I6A2Y2_RAT,Serine/arginine repetitive matrix 2,Srrm2,4437780,11262300,11828500,16346300,9499900,16103700,22129100,16550500,15674300,12317400
A0A8I6A2Z6,A0A8I6A2Z6_RAT,tRNA (guanine(6)-N(2))-methyltransferase THUMP3,Thumpd3,46947000,46800000,31509300,33418500,38109900,38419700,50377900,41362500,32308000,39555000
A0A8I6A320,A0A8I6A320_RAT,Tudor-interacting repair regulator protein,Nudt16l1,5772870,5194720,2374470,2660310,2074800,4323420,4501160,4237480,4726760,5218230
A0A8I6A356,A0A8I6A356_RAT,Ubiquitin-conjugating enzyme E2 K,Ube2k,52587700,53697900,44946200,36489900,41412400,71482700,72487500,79754500,44862800,65319500
A0A8I6A382,A0A8I6A382_RAT,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,ENSRNOG00000062386,482398000,468910000,288354000,427598000,385105000,400007000,457935000,382308000,573193000,552534000
A0A8I6A388,A0A8I6A388_RAT,VWFA and cache domain-containing protein 1,Cachd1,44096400,47510500,38662900,39951400,40346900,,2342650,,3871920,6801400
A0A8I6A3C3,A0A8I6A3C3_RAT,Guanylate binding protein family member 6,Gbp6,,1120010,,,,521618,988931,901200,,446889
A0A8I6A3F1,A0A8I6A3F1_RAT,Cytochrome c oxidase assembly factor 5,ENSRNOG00000064457,,1332150,,,694922,,1421710,1126680,593973,483480
A0A8I6A3G4,A0A8I6A3G4_RAT,Extracellular sulfatase,Sulf2,3033630,2737170,4608150,3894480,3709400,,,,3839100,3723580
A0A8I6A3Q1;A0A8I6AT35,A0A8I6A3Q1_RAT;A0A8I6AT35_RAT,UBC core domain-containing protein,ENSRNOG00000067007,162474000,221862000,145871000,123362000,155715000,172353000,203911000,214098000,137048000,167407000
A0A8I6A3T5,A0A8I6A3T5_RAT,Large ribosomal subunit protein mL62,Mrpl58,10969300,12223300,10387800,9962090,8538030,8197890,9166190,8957310,9747790,11539000
A0A8I6A3T8,A0A8I6A3T8_RAT,Bridge-like lipid transfer protein family member 3A,Bltp3a,16149800,18024200,15203000,15500300,14391400,14289900,17442500,15369800,14653000,17425400
A0A8I6A3T9,A0A8I6A3T9_RAT,Janus kinase and microtubule interacting protein 2,Jakmip2,8634610,5148880,10115800,7056870,9731080,7697710,7509540,9450630,8157010,8627910
A0A8I6A3Z5,A0A8I6A3Z5_RAT,SUMO-activating enzyme subunit 2,Uba2,104504000,95853200,65290400,53030500,73710400,107324000,115570000,99142100,68478400,86031300
A0A8I6A416,A0A8I6A416_RAT,Phosphodiesterase,Pde1a,14732300,15374300,10976800,10101700,14410400,10554400,14401500,15458400,9431270,11693500
A0A8I6A420,A0A8I6A420_RAT,BCAS3 microtubule associated cell migration factor,Bcas3,33641000,36148200,27325400,25549800,25895700,27760100,33399800,32208400,21248700,23356200
A0A8I6A456,A0A8I6A456_RAT,Kinesin motor domain-containing protein,ENSRNOG00000064986,2988200,4430490,2453510,3425770,2516000,4067650,5101550,4603260,3351550,2826610
A0A8I6A4A2,A0A8I6A4A2_RAT,Vacuolar protein sorting 13 homolog A,Vps13a,83399200,95482200,77511100,81442800,80415500,85305400,96412500,91827900,95763700,106857000
A0A8I6A4C2,A0A8I6A4C2_RAT,Nucleoredoxin,Nxn,4189970,6377780,2511910,2495470,3544430,4564090,5808800,5257590,2638130,3734630
A0A8I6A4E5,A0A8I6A4E5_RAT,Transmembrane protein 62,Tmem62,9647030,9920150,10476300,10324800,12262700,10153700,11239800,11066700,12792100,14179800
A0A8I6A4G0,A0A8I6A4G0_RAT,Tensin-1,Tns1,21064500,25974700,17740300,15144100,21750400,16769100,18883400,16654100,17730600,22229000
A0A8I6A4H8,A0A8I6A4H8_RAT,WD repeat and coiled-coil-containing protein,Wdcp,,,,,,,17237300,8574660,,8522500
A0A8I6A4I6,A0A8I6A4I6_RAT,RRM domain-containing protein,ENSRNOG00000067246,21746400,27613700,15903800,12561200,15342100,22082300,22932200,23445200,13918900,14653700
A0A8I6A4J2,A0A8I6A4J2_RAT,AP-2 complex subunit alpha,Ap2a1,467951000,531610000,341721000,335147000,334008000,447963000,507476000,466096000,371540000,437432000
