P04937,Fibronectin [OS=Rattus norvegicus],98343320.8,36687071.34,147023105.6,11050760.38,107122073.8,105944386.3,23635878.28
P47860,"ATP-dependent 6-phosphofructokinase, platelet type [OS=Rattus norvegicus]",519365860.5,525244396.5,465128774.1,548735987.1,396217067.8,349857551,451070653.4
P62944,AP-2 complex subunit beta [OS=Rattus norvegicus],725965276.9,701011667.1,635452483.1,791456001.7,593599940.9,578150065.7,646913542.5
P06685,Sodium/potassium-transporting ATPase subunit alpha-1 [OS=Rattus norvegicus],722138677.7,802993151.3,661660388,821029341.8,621679470.7,692827154.3,802965812.5
P63039,"60 kDa heat shock protein, mitochondrial [OS=Rattus norvegicus]",1294148149,1199061330,1162384328,1379175204,931982456.1,983072400.3,1141869021
D3ZFD0,Unconventional myosin-XVIIIa [OS=Rattus norvegicus],101484775.8,99747221.37,87578836.59,98600390.61,87677796.48,92582425.85,92865337.25
P61765,Syntaxin-binding protein 1 [OS=Rattus norvegicus],1582946755,1479105984,1408364684,1739370012,1420475528,1397234867,1590389057
P82995,Heat shock protein HSP 90-alpha [OS=Rattus norvegicus],2219150043,2450006817,2062945339,2610269868,2266175915,2288247815,2535281218
Q9ER34,"Aconitate hydratase, mitochondrial [OS=Rattus norvegicus]",2619614100,2606367850,2560562117,2786918486,2375413179,2287172660,2429680355
P50398,Rab GDP dissociation inhibitor alpha [OS=Rattus norvegicus],792390130.2,696397366,700063921.1,842513135.6,605761467.6,450596755.5,708406278.2
P11506,Plasma membrane calcium-transporting ATPase 2 [OS=Rattus norvegicus],431026736.1,450165357.4,388727269.6,528718150.7,436287916.7,449735996.7,482698278.4
P05708,Hexokinase-1 [OS=Rattus norvegicus],1368682788,1304115247,1320954740,1458445625,1119888067,1268352772,1213957617
P52873,"Pyruvate carboxylase, mitochondrial [OS=Rattus norvegicus]",363682203.6,391322834.8,351941068.6,454390148.2,337377609.5,325107218.2,378354805.7
P85972,Vinculin [OS=Rattus norvegicus],261296279.1,235275272,228449701.7,220740541.4,228572436.8,207096319.4,179599002.3
Q05546,Tenascin-R [OS=Rattus norvegicus],536837755.8,632456833.7,463443402,584704079.9,428846548.1,384291026,551057741.5
Q9ERH3,WD repeat-containing protein 7 [OS=Rattus norvegicus],143851363,144618512.8,104202789.3,163242781.3,103970162.3,101652597.4,139113663
P34058,Heat shock protein HSP 90-beta [OS=Rattus norvegicus],740221400.5,752488585.7,652763742.5,655461381.6,590647655.8,568323556.4,651684504.3
P50137,Transketolase [OS=Rattus norvegicus],1319846605,1170549690,1027816977,1233299955,1079767041,1168190507,1119703713
Q63198,Contactin-1 [OS=Rattus norvegicus],388930975.6,408393901,346794040.9,458842285,316085294,273196657.3,347145535.3
Q9Z1P2,Alpha-actinin-1 [OS=Rattus norvegicus],91689125.55,72525432.92,68891221.38,71282078.28,44847119.69,59087257.05,52485362.84
P02770,Albumin [OS=Rattus norvegicus],5262079484,3611124962,13086803339,989369611,12266658723,12160171917,2665978463
P08649,Complement C4 [OS=Rattus norvegicus],74522000.31,52590479.3,217161254.2,27663342.13,151596343.3,178777240.2,47176091.01
P33124,Long-chain-fatty-acid--CoA ligase 6 [OS=Rattus norvegicus],372780620.8,382663088.5,360757581.3,493347032.8,332114760.2,323594231.1,362601067.7
P50399,Rab GDP dissociation inhibitor beta [OS=Rattus norvegicus],1149055076,1052806067,1062765572,1273690500,1043615427,897988744.7,1144558951
Q99JD4,CLIP-associating protein 2 [OS=Rattus norvegicus],106326571.1,110227066.7,84397478.82,131838366,89278327.57,96719200.61,128411099.8
Q07009,Calpain-2 catalytic subunit [OS=Rattus norvegicus],324274761.4,325701826.3,263259119.7,359115225.4,251662167.6,226393494.3,320852783.6
Q6IE52,Murinoglobulin-2 [OS=Rattus norvegicus],148352.5114,,833257.407,,2605445.65,3794071.994,1242131.812
P09812,"Glycogen phosphorylase, muscle form [OS=Rattus norvegicus]",789604243.4,1000273096,619242953.2,733658991.1,660973383,524908966.2,681675029.1
Q5SGE0,"Leucine-rich PPR motif-containing protein, mitochondrial [OS=Rattus norvegicus]",165708486.2,163024744.2,155000019.1,173197213.9,133179514.4,131608433.5,135711391.3
Q64560,Tripeptidyl-peptidase 2 [OS=Rattus norvegicus],148594582.6,151690292.5,144069648,169749377.6,134695357.1,121001864,131220292.3
Q04462,Valine--tRNA ligase [OS=Rattus norvegicus],110878627.3,125711045.8,90680942.85,144349436.8,90751310.1,96236787.91,100452967.1
P42346,Serine/threonine-protein kinase mTOR [OS=Rattus norvegicus],47867186.37,51599531.2,38127917.8,60669890.16,35647307.78,36041790.53,42950439.41
P31000,Vimentin [OS=Rattus norvegicus],1028351645,841582854.2,836025491.5,726531617,867404210.9,850513359.7,595869196.2
P07335,Creatine kinase B-type [OS=Rattus norvegicus],4188875278,3839622476,3481427910,4550258780,3007256695,2578595504,4042024688
P63018,Heat shock cognate 71 kDa protein [OS=Rattus norvegicus],2895438793,3317280554,2878626135,3336238785,2838474631,2466849293,3012300048
P28037,Cytosolic 10-formyltetrahydrofolate dehydrogenase [OS=Rattus norvegicus],314103224.6,253473066.1,272015425,291890098.6,230084596.7,223937645.8,273926666
Q62910,Synaptojanin-1 [OS=Rattus norvegicus],369357192.1,402245478.4,379298014.9,451379812.4,342272655.1,355717824.6,404408984.3
P12346,Serotransferrin [OS=Rattus norvegicus],1581313277,1062375185,3449003519,305199647.3,2679023868,2760312383,589450439.2
G3V7L1,Utrophin [OS=Rattus norvegicus],50473641.94,48451161.95,37033642.56,64659132.05,39721988.92,44533698.03,35150959.92
Q66HA8,Heat shock protein 105 kDa [OS=Rattus norvegicus],261178586.8,265150884.6,231644429.2,268371335.3,197784446.9,202027576.3,263026202.7
P16884,Neurofilament heavy polypeptide [OS=Rattus norvegicus],3782444505,4826271003,3921827794,5022899597,4155114985,3915474048,5083509355
P11505,Plasma membrane calcium-transporting ATPase 1 [OS=Rattus norvegicus],76439022.22,68414952.58,62844591.99,77920899.78,59911754.18,67671744.79,65892774.82
P50554,"4-aminobutyrate aminotransferase, mitochondrial [OS=Rattus norvegicus]",819767406.2,621572538.5,565148988.2,767923843.3,482044651.4,506902129.6,559387842.3
Q62717,Calcium-dependent secretion activator 1 [OS=Rattus norvegicus],241801280,230587965.3,185093268.3,264211163.3,173149907.6,154817413.7,212833567.6
P11507,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 [OS=Rattus norvegicus],382589780.2,526402845.4,403552640.5,347193653.9,502377365.1,390197789.8,311806424
Q64568,Plasma membrane calcium-transporting ATPase 3 [OS=Rattus norvegicus],127611049.6,111832330.4,114895492.7,128146659.6,94558288.77,102203241.5,119179267.2
Q08877,Dynamin-3 [OS=Rattus norvegicus],197553352.6,195897759,211982890.6,229225341.6,173657762.2,141150605.1,195253337
Q2TA68,"Dynamin-like 120 kDa protein, mitochondrial [OS=Rattus norvegicus]",206288842.6,191726447.5,184070722.5,211509649.3,158850241.2,173548195.8,178617852.1
Q63357,Unconventional myosin-Id [OS=Rattus norvegicus],365074357.7,305301659.3,350553348.3,257046850.9,319284696.6,253223839.9,257787071.9
Q62952,Dihydropyrimidinase-related protein 3 [OS=Rattus norvegicus],384917336.8,374352724.7,325701659.6,431012667.4,323625495.5,267434849.2,372661909.3
