Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
P53610,PGTB1_RAT,Geranylgeranyl transferase type-1 subunit beta,Pggt1b,6046400,5930170,5514800,5855280,4851300,4907580,5809580,4586870,5596070,5366940
P53669,LIMK1_RAT,LIM domain kinase 1,Limk1,19020900,17031800,17980300,18756500,18093500,13864900,18603300,15950100,16226400,17719400
P53670,LIMK2_RAT,LIM domain kinase 2,Limk2,14389900,1558760,608239,,1268410,,1020630,,1142690,1650060
P53676,AP3M1_RAT,AP-3 complex subunit mu-1,Ap3m1,13510900,14598000,15673500,16833300,15547300,13288300,16030600,12448700,13579100,13824800
P53678,AP3M2_RAT,AP-3 complex subunit mu-2,Ap3m2,88279100,85529700,91668300,102337000,98297000,77604100,94111500,83014100,85957600,79765800
P53767,VGFR1_RAT,Vascular endothelial growth factor receptor 1,Flt1,1025600,1119660,682191,814785,1037660,1429080,1037180,797960,713719,735147
P53812,PIPNB_RAT,Phosphatidylinositol transfer protein beta isoform,Pitpnb,65088900,64406100,68199100,67010400,65822100,47224900,63837500,54135700,63162400,56702700
P53813,PROS_RAT,Vitamin K-dependent protein S,Pros1,,,,,,9541460,,1751190,,
P53817,PLAT3_RAT,Phospholipase A and acyltransferase 3,Plaat3,5896960,5740890,5802080,5141620,4144810,4125760,4947660,2965520,4919740,5460210
P53987,MOT1_RAT,Monocarboxylate transporter 1,Slc16a1,62945500,67294100,66728700,65444100,58633200,50594000,70021200,58569600,62013500,59559300
P54001,P4HA1_RAT,Prolyl 4-hydroxylase subunit alpha-1,P4ha1,2035360,2300140,1779790,1965470,2305720,1519840,2009700,1772010,1907070,1929250
P54256,HAP1_RAT,Huntingtin-associated protein 1,Hap1,14957300,15081700,14490000,14545300,12456800,8611060,12222100,10885600,13328800,12393400
P54282,CAC1A_RAT,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,Cacna1a,5245750,5034040,4296580,3969610,5436340,4236150,3504180,3829820,3881170,4360700
P54287,CACB3_RAT,Voltage-dependent L-type calcium channel subunit beta-3,Cacnb3,31341200,40805100,38402900,33058800,32656900,27176600,30878000,23096600,35685600,20926500
P54290,CA2D1_RAT,Voltage-dependent calcium channel subunit alpha-2/delta-1,Cacna2d1,305557000,319062000,268019000,285172000,262275000,183909000,284025000,248525000,301526000,217448000
P54311,GBB1_RAT,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Gnb1,557110000,632535000,593780000,676251000,632876000,508351000,669688000,554691000,643989000,571122000
P54313,GBB2_RAT,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Gnb2,351965000,367915000,352240000,359203000,345459000,257012000,349145000,287292000,332989000,308963000
