Accession,Description,138,139,140,141,142,143,144,,,,,
,,SCI,SCI,SCI,SHAM,SHAM,SHAM,SHAM,,,,,
P04797,Glyceraldehyde-3-phosphate dehydrogenase [OS=Rattus norvegicus],615215814,33079038.6,653152144.3,746376216.8,656164663.1,590839283.6,862567692.4,,,,,
P62804,Histone H4 [OS=Rattus norvegicus],71337252.33,42755870.18,62872102.55,71341773.34,50584648.15,49030916.2,3370726.744,,,,,
Q06647,"ATP synthase subunit O, mitochondrial [OS=Rattus norvegicus]",31793947.67,,35786258.05,37135858,22332736.2,28070158.37,25294531.17,,,,,
P68511,14-3-3 protein eta [OS=Rattus norvegicus],160160773.7,142049051.8,158987475.2,75883040.03,130619198.3,95699203.38,165999500.3,,,,,
Q66HA8,Heat shock protein 105 kDa [OS=Rattus norvegicus],77688888.71,42854247.8,87517867.98,142789675.8,101634673.5,122161893.5,215889603.5,,,,,
Q6AYZ1,Tubulin alpha-1C chain [OS=Rattus norvegicus],,,,,,,,,,,,
P62632,Elongation factor 1-alpha 2 [OS=Rattus norvegicus],21616931.58,10952777.94,53337814.02,29839253.41,35821297.15,30386248.5,88145930.86,,,,,
P34058,Heat shock protein HSP 90-beta [OS=Rattus norvegicus],206528126.5,209595869,256129270.9,222465205.4,292635882.4,243915996.9,395156912.7,,,,,
O35567,Bifunctional purine biosynthesis protein ATIC [OS=Rattus norvegicus],34849870.06,915233.9584,38326748.15,35575217.4,19364223.25,38653256.74,75763497.65,,,,,
P26284,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial [OS=Rattus norvegicus]",73513019.77,55017939.24,92054059.14,76417547.36,57033716.59,60332944.71,72729687.72,,,,,
P62898,"Cytochrome c, somatic [OS=Rattus norvegicus]",15760334.15,,24115989.55,28809391.88,21589954.36,30598260.81,41865397.1,,,,,
F1LX07,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial [OS=Rattus norvegicus]",64030857.65,14216714.06,109241086.3,97106060.88,69898901.77,83338188.68,54730782.21,,,,,
P09812,"Glycogen phosphorylase, muscle form [OS=Rattus norvegicus]",120365910.9,31773312.31,202186407.9,186820962,206900380.1,152590579.7,162805883.9,,,,,
Q3KR86,MICOS complex subunit Mic60 [OS=Rattus norvegicus],113278130.9,87265533.01,131200240.2,139834170.7,133951868.5,171236064.5,19164665.7,,,,,
P06686,Sodium/potassium-transporting ATPase subunit alpha-2 [OS=Rattus norvegicus],2960417048,2217407858,3590199286,3064693998,4597946096,3584683085,2994355466,,,,,
